notification_date,lga_name19,confirmed_cases_count
2020-03-29,Lismore (C),1
2020-03-29,Liverpool (C),2
2020-03-29,Mid-Coast (A),1
2020-03-29,Newcastle (C),3
2020-03-29,North Sydney (A),1
2020-03-29,Northern Beaches (A),6
2020-03-29,Parramatta (C),2
2020-03-29,Penrith (C),1
2020-03-29,Port Macquarie-Hastings (A),2
2020-03-29,Port Stephens (A),2
2020-03-29,Randwick (C),1
2020-03-29,Ryde (C),1
2020-03-29,Shellharbour (C),2
2020-03-29,Shoalhaven (C),3
2020-03-29,Sutherland Shire (A),3
2020-03-29,Sydney (C),10
2020-03-29,Tamworth Regional (A),1
2020-03-29,The Hills Shire (A),6
2020-03-29,Willoughby (C),1
2020-03-29,Wingecarribee (A),1
2020-03-29,Wollongong (C),1
2020-03-29,Woollahra (A),1
2020-03-29,Yass Valley (A),4
2020-03-30,Bayside (A),3
2020-03-30,Blacktown (C),6
2020-03-30,Blue Mountains (C),3
2020-03-30,Burwood (A),1
2020-03-30,Byron (A),4
2020-03-30,Canterbury-Bankstown (A),5
2020-03-30,Central Coast (C) (NSW),1
2020-03-30,Cessnock (C),3
2020-03-30,Coffs Harbour (C),1
2020-03-30,Cumberland (A),2
2020-03-30,Eurobodalla (A),1
2020-03-30,Fairfield (C),1
2020-03-30,Goulburn Mulwaree (A),1
2020-03-30,Hornsby (A),1
2020-03-30,Hunters Hill (A),1
2020-03-30,Inner West (A),3
2020-03-30,Kempsey (A),1
2020-03-30,Ku-ring-gai (A),1
2020-03-30,Lake Macquarie (C),2
2020-03-30,Mosman (A),1
2020-03-30,Narrandera (A),1
2020-03-30,Newcastle (C),1
2020-03-30,North Sydney (A),1
2020-03-30,Northern Beaches (A),7
2020-03-30,Penrith (C),4
2020-03-30,Port Macquarie-Hastings (A),1
2020-03-30,Port Stephens (A),1
2020-03-30,Ryde (C),4
2020-03-30,Shellharbour (C),1
2020-03-30,Shoalhaven (C),2
2020-03-30,Snowy Monaro Regional (A),1
2020-03-30,Sutherland Shire (A),2
